Number,X,Y,Al,Ti,Cr,Fe,Co,Ni,Cu,Zr,Mo,W,Mn,Si,Mg,Resistance,Thickness,Resistivity,Ex_resistivity,ravg,delta,dHmix,Amorphous,ENavg,dEN,N,Compo
1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.427048,450,87.0537348,44.9537348,0.162,0,0,0,1.33,0,1,Zr
2,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1.022026667,386,178.7095389,136.7095389,0.168,0,0,0,1.62,0,1,Ti
3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0.019493033,397,3.505646548,1.827646548,0.128,0,0,0,1.9,0,1,Cu
4,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0.102499,349,16.2047844,9.274784403,0.125,0,0,0,1.91,0,1,Ni
5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.0105415,380,1.81461381,-0.83538619,0.143,0,0,0,1.61,0,1,Al
6,-34,0,0,0,0,0,0,0,92.00483516,7.995164835,0,0,0,0,0,0.3353627,462.4223,70.25087355,65.34106802,0.130718356,0.07054421,-6.767463169,0,1.85442756,0.154594448,2,Cu/Zr
7,-17,0,0,0,0,0,0,0,89.09241758,10.90758242,0,0,0,0,0,0.4306431,412.3999,80.45151863,74.36445567,0.131708578,0.080472868,-8.940402567,0,1.83782678,0.177688565,2,Cu/Zr
8,0,0,0,0,0,0,0,0,86.18,13.82,0,0,0,0,0,0.6474262,362.3775,106.2795476,99.01522717,0.1326988,0.088423803,-10.95726992,1,1.821226,0.196712574,2,Cu/Zr
9,17,0,0,0,0,0,0,0,79.82835165,20.17164835,0,0,0,0,0,0.9491991,345.4901,148.5563181,138.7245344,0.13485836,0.101169666,-14.81447883,1,1.785021604,0.228730527,2,Cu/Zr
10,34,0,0,0,0,0,0,0,73.4767033,26.5232967,0,0,0,0,0,1.22806,328.6028,182.8054114,170.4061644,0.137017921,0.109544386,-17.9293685,1,1.748817209,0.251630592,2,Cu/Zr
11,-34,0,0,0,0,0,0,0,80.37820442,19.62179558,0,0,0,0,0,0.8199269,400.0916,148.604777,138.9952548,0.13467141,0.100263309,-14.50991521,1,1.788155765,0.226367138,2,Cu/Zr
12,-17,0,0,0,0,0,0,0,74.69588398,25.30411602,0,0,0,0,0,0.9128289,379.6098,156.9730147,145.0665849,0.136603399,0.108208488,-17.38904249,1,1.755766539,0.247809971,2,Cu/Zr
13,0,0,0,0,0,0,0,0,69.01356354,30.98643646,0,0,0,0,0,1.084765,359.128,176.4749767,162.2716393,0.138535388,0.113493564,-19.67405649,1,1.723377312,0.263589374,2,Cu/Zr
14,17,0,0,0,0,0,0,0,60.16077348,39.83922652,0,0,0,0,0,1.156762,382.0933,200.2219275,182.4401153,0.141545337,0.1175968,-22.05017988,1,1.672916409,0.279053202,2,Cu/Zr
15,34,0,0,0,0,0,0,0,51.26066298,48.73933702,0,0,0,0,0,1.097179,405.0586,201.3230707,179.9436559,0.144571375,0.117551595,-22.98537871,1,1.622185779,0.284909397,2,Cu/Zr
16,-34,0,0,0,0,0,0,0,59.04384615,40.95615385,0,0,0,0,0,1.430957,307.9015,199.5889945,181.3556979,0.141925092,0.11780579,-22.24752139,1,1.666549923,0.280299136,2,Cu/Zr
17,-17,0,0,0,0,0,0,0,51.57692308,48.42307692,0,0,0,0,0,1.321915,320.4675,191.9047503,170.6531741,0.144463846,0.117617962,-22.97712249,1,1.623988462,0.284858224,2,Cu/Zr
18,0,0,0,0,0,0,0,0,44.11,55.89,0,0,0,0,0,1.160329,333.0335,175.0520779,150.7822221,0.1470026,0.114839022,-22.68083268,1,1.581427,0.283015642,2,Cu/Zr
19,17,0,0,0,0,0,0,0,35.6043956,64.3956044,0,0,0,0,0,0.9980729,389.7621,176.2219782,148.513987,0.149894505,0.108610828,-21.09345248,1,1.532945055,0.2729322,2,Cu/Zr
20,34,0,0,0,0,0,0,0,27.09879121,72.90120879,0,0,0,0,0,0.8445022,446.4908,170.8092957,139.6631691,0.152786411,0.09890916,-18.17491865,0,1.48446311,0.253347825,2,Cu/Zr
21,-34,0,0,6.952135135,0,0,0,0,93.04786486,0,0,0,0,0,0,0.2920185,443.7049,58.69522782,54.21398789,0.130780854,0.077790781,-2.32877279,0,1.880534022,0.071214813,2,Cu/Ti
22,-17,0,0,9.172243243,0,0,0,0,90.82775676,0,0,0,0,0,0,0.378242,401.8775,68.85914806,63.48271614,0.131668897,0.08768471,-2.999139402,0,1.874317719,0.080817443,2,Cu/Ti
23,0,0,0,11.39235135,0,0,0,0,88.60764865,0,0,0,0,0,0,0.582943,360.05,95.0795481,88.80792419,0.132556941,0.095873771,-3.634018077,0,1.868101416,0.088961137,2,Cu/Ti
24,17,0,0,16.92624324,0,0,0,0,83.07375676,0,0,0,0,0,0,0.934191,339.9676,143.8703865,135.3673867,0.134770497,0.111295441,-5.06205581,0,1.852606519,0.104995393,2,Cu/Ti
25,34,0,0,22.50959459,0,0,0,0,77.49040541,0,0,0,0,0,0,1.291861,319.8852,187.2009881,176.4466694,0.137003838,0.121936875,-6.279399397,1,1.836973135,0.116940739,2,Cu/Ti
26,-34,0,0,18.25726648,0,0,0,0,81.74273352,0,0,0,0,0,0,0.9538856,399.4198,172.5933604,163.5536654,0.135302907,0.114207683,-5.372635927,0,1.848879654,0.10816842,2,Cu/Ti
27,-17,0,0,23.71501374,0,0,0,0,76.28498626,0,0,0,0,0,0,1.11598,361.3099,182.6562239,171.415856,0.137486005,0.123746443,-6.51275819,1,1.833597962,0.119093829,2,Cu/Ti
28,0,0,0,29.23663462,0,0,0,0,70.76336538,0,0,0,0,0,0,1.280765,323.2,187.5162913,174.0494955,0.139694654,0.130241124,-7.447977569,1,1.818137423,0.127357921,2,Cu/Ti
29,17,0,0,39.03778846,0,0,0,0,60.96221154,0,0,0,0,0,0,1.406855,331.756,211.4298621,194.011045,0.143615115,0.135872886,-8.567387705,1,1.790694192,0.136593801,2,Cu/Ti
30,34,0,0,48.83894231,0,0,0,0,51.16105769,0,0,0,0,0,0,1.444081,340.3121,222.6215217,201.2506834,0.147535577,0.13552397,-8.995147002,1,1.763250962,0.139962249,2,Cu/Ti
31,-34,0,0,38.68703297,0,0,0,0,61.31296703,0,0,0,0,0,0,1.801956,269.061,219.6307457,202.3533603,0.143474813,0.135782313,-8.539260397,1,1.791676308,0.136369394,2,Cu/Ti
32,-17,0,0,46.95351648,0,0,0,0,53.04648352,0,0,0,0,0,0,1.762436,285.8555,228.2223169,207.61172,0.146781407,0.136003883,-8.966588177,1,1.768530154,0.139739889,2,Cu/Ti
33,0,0,0,55.22,0,0,0,0,44.78,0,0,0,0,0,0,1.683596,302.65,230.8217692,206.8779608,0.150088,0.132526969,-8.90190576,1,1.745384,0.139234954,2,Cu/Ti
34,17,0,0,63.99461538,0,0,0,0,36.00538462,0,0,0,0,0,0,1.56916,335.3236,238.3579002,210.8759914,0.153597846,0.125005842,-8.294942665,1,1.720815077,0.134404397,2,Cu/Ti
35,34,0,0,72.76923077,0,0,0,0,27.23076923,0,0,0,0,0,0,1.304408,367.9973,217.4484358,186.4284266,0.157107692,0.113335611,-7.133623669,0,1.696246154,0.124641274,2,Cu/Ti
36,-34,0,0,0,0,0,0,93.22540541,0,6.774594595,0,0,0,0,0,0.1929629,505.3484,44.17361223,34.86098731,0.1275066,0.072925238,-12.37866082,0,1.870707351,0.145759473,2,Ni/Zr
37,-17,0,0,0,0,0,0,90.17275676,0,9.827243243,0,0,0,0,0,0.3641638,454.1242,74.91514424,64.52890279,0.12863608,0.085623397,-17.36853245,1,1.853001989,0.172655938,2,Ni/Zr
38,0,0,0,0,0,0,0,87.07102703,0,12.92897297,0,0,0,0,0,0.5543775,402.9,101.1814887,89.70436893,0.12978372,0.095653387,-22.06448352,1,1.835011957,0.194601795,2,Ni/Zr
39,17,0,0,0,0,0,0,80.68086486,0,19.31913514,0,0,0,0,0,0.8129426,381.2297,140.3927922,126.6682523,0.13214808,0.110540132,-30.55021681,1,1.797949016,0.228985038,2,Ni/Zr
40,34,0,0,0,0,0,0,74.2907027,0,25.7092973,0,0,0,0,0,1.081209,359.5593,176.1077143,160.1357544,0.13451244,0.120213048,-37.43525054,1,1.760886076,0.253478034,2,Ni/Zr
41,-34,0,0,0,0,0,0,81.22217391,0,18.77782609,0,0,0,0,0,0.7196893,408.5731,133.2026968,119.6685354,0.131947796,0.109511454,-29.89344678,1,1.801088609,0.2265103,2,Ni/Zr
42,-17,0,0,0,0,0,0,75.00608696,0,24.99391304,0,0,0,0,0,0.9058673,389.6115,159.8801519,144.1597926,0.134247748,0.119332873,-36.74403406,1,1.765035304,0.251126981,2,Ni/Zr
43,0,0,0,0,0,0,0,68.79,0,31.21,0,0,0,0,0,1.064813,370.65,178.7868411,160.8802841,0.1365477,0.125552936,-42.07994364,1,1.728982,0.26874323,2,Ni/Zr
44,17,0,0,0,0,0,0,59.28663043,0,40.71336957,0,0,0,0,0,1.123456,387.706,197.3134963,176.0646042,0.140063947,0.129784334,-47.30966651,1,1.673862456,0.284954094,2,Ni/Zr
45,34,0,0,0,0,0,0,49.78326087,0,50.21673913,0,0,0,0,0,1.115273,404.7621,204.4933694,179.9021423,0.143580193,0.128846645,-48.99907927,1,1.618742913,0.289997275,2,Ni/Zr
46,-34,0,0,0,0,0,0,60.80908108,0,39.19091892,0,0,0,0,0,1.385053,317.5604,199.2466071,178.5331609,0.13950064,0.129479933,-46.71000982,1,1.68269267,0.283142418,2,Ni/Zr
47,-17,0,0,0,0,0,0,52.15194595,0,47.84805405,0,0,0,0,0,1.36697,335.9802,208.0515089,184.2933482,0.14270378,0.129519049,-48.90923492,1,1.632481287,0.289731285,2,Ni/Zr
48,0,0,0,0,0,0,0,43.49481081,0,56.50518919,0,0,0,0,0,1.235747,354.4,198.3907778,171.5879027,0.14590692,0.12571547,-48.17057727,1,1.582269903,0.28753511,2,Ni/Zr
49,17,0,0,0,0,0,0,34.85578378,0,65.14421622,0,0,0,0,0,1.055712,410.3692,196.2539551,166.4127342,0.14910336,0.118246869,-44.50479322,1,1.532163546,0.276377925,2,Ni/Zr
50,34,0,0,0,0,0,0,26.21702703,0,73.78297297,0,0,0,0,0,0.860372,466.3385,181.7547383,148.8752667,0.1522997,0.106849495,-37.91365585,1,1.482058757,0.255092559,2,Ni/Zr
51,-34,0,0,5.843378378,0,0,0,94.15662162,0,0,0,0,0,0,0,0.159624,498.0885,36.01661606,27.03734326,0.127512653,0.079099295,-7.702698738,0,1.893054203,0.068022946,2,Ni/Ti
52,-17,0,0,8.306081081,0,0,0,91.69391892,0,0,0,0,0,0,0,0.2448681,443.8192,49.2307554,39.38781277,0.128571615,0.092297876,-10.66263975,0,1.885912365,0.080032494,2,Ni/Ti
53,0,0,0,10.76878378,0,0,0,89.23121622,0,0,0,0,0,0,0,0.4055987,389.55,71.57444103,60.86782856,0.129630577,0.102825951,-13.45276344,0,1.878770527,0.089895869,2,Ni/Ti
54,17,0,0,15.94408108,0,0,0,84.05591892,0,0,0,0,0,0,0,0.721766,366.217,119.7383096,107.2167204,0.131855955,0.119385781,-18.76272141,0,1.863762165,0.10616513,2,Ni/Ti
55,34,0,0,21.15986486,0,0,0,78.84013514,0,0,0,0,0,0,0,1.243186,342.8841,193.0997269,178.7489623,0.134098742,0.130970618,-23.35545248,0,1.848636392,0.118448107,2,Ni/Ti
56,-34,0,0,15.54379781,0,0,0,84.45620219,0,0,0,0,0,0,0,0.5617978,376.6593,95.85768384,83.47647395,0.131683833,0.11831242,-18.37878183,0,1.864922986,0.105073293,2,Ni/Ti
57,-17,0,0,21.05439891,0,0,0,78.94560109,0,0,0,0,0,0,0,0.9073799,364.3297,149.7552074,135.4414297,0.134053392,0.130775395,-23.27013048,0,1.848942243,0.118231552,2,Ni/Ti
58,0,0,0,26.565,0,0,0,73.435,0,0,0,0,0,0,0,1.254127,352,199.9780749,183.7317294,0.13642295,0.139215464,-27.31121085,1,1.8329615,0.128086824,2,Ni/Ti
59,17,0,0,35.98281421,0,0,0,64.01718579,0,0,0,0,0,0,0,1.496507,352.1868,238.7536552,219.2044823,0.14047261,0.146917204,-32.24925903,1,1.805649839,0.139185454,2,Ni/Ti
60,34,0,0,45.40062842,0,0,0,54.59937158,0,0,0,0,0,0,0,1.60974,352.3736,256.9551351,234.1031347,0.14452227,0.148135257,-34.70384093,1,1.778338178,0.144385224,2,Ni/Ti
61,-34,0,0,35.38336066,0,0,0,64.61663934,0,0,0,0,0,0,0,1.858739,283.8148,238.9745498,219.6356052,0.140214845,0.146637883,-32.00895396,1,1.807388254,0.138665915,2,Ni/Ti
62,-17,0,0,44.92937158,0,0,0,55.07062842,0,0,0,0,0,0,0,2.018398,297.7324,272.2269438,249.5402131,0.14431963,0.148206837,-34.64004218,1,1.779704822,0.144252446,2,Ni/Ti
63,0,0,0,54.45800546,0,0,0,45.54199454,0,0,0,0,0,0,0,1.929,311.65,272.3313011,246.3028785,0.148416942,0.144285226,-34.72176662,1,1.752071784,0.144422509,2,Ni/Ti
