Number,X,Y,Al,Ti,Cr,Fe,Co,Ni,Cu,Zr,Mo,W,Mn,Si,Mg,Re,Ta,Thickness,Hardness,Modulus,ravg,delta,dHmix,ENavg,dEN,N,Compo
1,-35,-25,0,26.93146,13.26419,0,59.80435,0,0,0,0,0,0,0,0,0,0,567.4116,11.475,197.42,0.136580528,0.139660899,-20.30836398,1.780796986,0.121590694,3,Co/Cr/Ti
2,-35,25,0,46.79529,12.05821,0,41.1465,0,0,0,0,0,0,0,0,0,0,504.2531,13.009,208.71,0.145121975,0.147846616,-23.93897271,1.731804184,0.124530277,3,Co/Cr/Ti
3,-35,15,0,42.855,13,0,44.145,0,0,0,0,0,0,0,0,0,0,517.3333,13.807,224.48,0.14342765,0.148362943,-23.66667852,1.739977,0.125122098,3,Co/Cr/Ti
4,-35,-15,0,30.14,13.615,0,56.245,0,0,0,0,0,0,0,0,0,0,552,11.732,231.67,0.1379602,0.143021245,-21.36075032,1.771683,0.123416885,3,Co/Cr/Ti
5,-35,5,0,37.795,14.2475,0,47.9575,0,0,0,0,0,0,0,0,0,0,537.75,14.615,191.88,0.14125185,0.147606041,-22.90159669,1.7503885,0.125084248,3,Co/Cr/Ti
6,-35,-5,0,33.9075,14.31,0,51.7825,0,0,0,0,0,0,0,0,0,0,544.875,12.138,218.15,0.139580225,0.145837274,-22.20934716,1.7603585,0.124633148,3,Co/Cr/Ti
7,-25,35,0,48.15455,13.79638,0,38.04907,0,0,0,0,0,0,0,0,0,0,499.8769,14.513,229.38,0.145706457,0.147456407,-23.22114825,1.724446134,0.122608803,3,Co/Cr/Ti
8,-25,-35,0,20.92777,14.73884,0,64.33339,0,0,0,0,0,0,0,0,0,0,664.7609,10.138,243.78,0.133998941,0.130539084,-17.45995138,1.79316235,0.117217719,3,Co/Cr/Ti
9,-25,25,0,44.56,14.43,0,41.01,0,0,0,0,0,0,0,0,0,0,514.6667,14.238,190.57,0.1441608,0.148253677,-23.21418384,1.732398,0.123775319,3,Co/Cr/Ti
10,-25,-25,0,23.1,15.36,0,61.54,0,0,0,0,0,0,0,0,0,0,627.655,10.674,231.66,0.134933,0.13431343,-18.42752064,1.786148,0.119338351,3,Co/Cr/Ti
11,-25,15,0,39.5,15.6775,0,44.8225,0,0,0,0,0,0,0,0,0,0,535.0833,13.672,225.68,0.141985,0.148047891,-22.68773309,1.7428095,0.124373135,3,Co/Cr/Ti
12,-25,-15,0,26.8675,16.055,0,57.0775,0,0,0,0,0,0,0,0,0,0,590.4286,11.894,193.37,0.136553025,0.139584106,-19.84954141,1.7748235,0.12194652,3,Co/Cr/Ti
13,-25,5,0,34.44,16.925,0,48.635,0,0,0,0,0,0,0,0,0,0,555.5,13.743,228.91,0.1398092,0.146144928,-21.70902868,1.753221,0.124097644,3,Co/Cr/Ti
14,-25,-5,0,30.635,16.75,0,52.615,0,0,0,0,0,0,0,0,0,0,562.625,11.874,243.21,0.13817305,0.143457827,-20.89970138,1.763499,0.123465692,3,Co/Cr/Ti
15,-15,35,0,44.92,17.63,0,37.45,0,0,0,0,0,0,0,0,0,0,512,14.397,201.12,0.1443156,0.148208126,-22.11506528,1.724422,0.121220155,3,Co/Cr/Ti
16,-15,-35,0,18.515,16.64,0,64.845,0,0,0,0,0,0,0,0,0,0,696.2975,9.992,204.86,0.13296145,0.125615551,-16.03586212,1.795253,0.11570586,3,Co/Cr/Ti
17,-15,25,0,40.5325,17.9925,0,41.475,0,0,0,0,0,0,0,0,0,0,532.4167,13.595,222.15,0.142428975,0.14822165,-22.06412602,1.735032,0.122852021,3,Co/Cr/Ti
18,-15,-25,0,21.055,17.5675,0,61.3775,0,0,0,0,0,0,0,0,0,0,667,10.248,178.42,0.13405365,0.130776512,-17.23466971,1.7866085,0.118380225,3,Co/Cr/Ti
19,-15,15,0,36.145,18.355,0,45.5,0,0,0,0,0,0,0,0,0,0,552.8333,14.834,188.45,0.14054235,0.146988316,-21.61337213,1.745642,0.123554716,3,Co/Cr/Ti
20,-15,-15,0,23.595,18.495,0,57.91,0,0,0,0,0,0,0,0,0,0,628.8571,10.546,203.31,0.13514585,0.135094175,-18.23909163,1.777964,0.120376305,3,Co/Cr/Ti
21,-15,5,0,31.085,19.6025,0,49.3125,0,0,0,0,0,0,0,0,0,0,573.25,12.081,211.4,0.13836655,0.143836683,-20.42104515,1.7560535,0.123037942,3,Co/Cr/Ti
22,-15,-5,0,27.3625,19.19,0,53.4475,0,0,0,0,0,0,0,0,0,0,590.7143,11.547,184.99,0.136765875,0.140168052,-19.49081474,1.7666395,0.122206412,3,Co/Cr/Ti
23,-5,43,0,43.525,20.975,0,35.5,0,0,0,0,0,0,0,0,0,0,515.3429,14.492,203.48,0.14371575,0.148341136,-21.05314325,1.72069,0.119143291,3,Co/Cr/Ti
24,-5,-43,0,14.946,18.291,0,66.763,0,0,0,0,0,0,0,0,0,0,698.4011,9.285,233.44,0.13142678,0.116652607,-13.89512139,1.8009002,0.112692332,3,Co/Cr/Ti
25,-5,35,0,40.8925,21.1925,0,37.915,0,0,0,0,0,0,0,0,0,0,528,13.857,230.52,0.142583775,0.148265967,-21.07706022,1.727056,0.120451786,3,Co/Cr/Ti
26,-5,-35,0,16.47,18.8475,0,64.6825,0,0,0,0,0,0,0,0,0,0,691.4403,9.545,211.79,0.1320821,0.120751499,-14.75132946,1.7957135,0.114680844,3,Co/Cr/Ti
27,-5,25,0,36.505,21.555,0,41.94,0,0,0,0,0,0,0,0,0,0,549,14.354,191.1,0.14069715,0.147139439,-20.79707013,1.737666,0.121864812,3,Co/Cr/Ti
28,-5,-25,0,19.01,19.775,0,61.215,0,0,0,0,0,0,0,0,0,0,669.4286,10.091,172.91,0.1331743,0.126693633,-16.02283438,1.787069,0.117412475,3,Co/Cr/Ti
29,-5,15,0,32.1175,21.9175,0,45.965,0,0,0,0,0,0,0,0,0,0,570,13.68,224.18,0.138810525,0.144642473,-20.11726542,1.748276,0.122344954,3,Co/Cr/Ti
30,-5,-15,0,21.55,20.7025,0,57.7475,0,0,0,0,0,0,0,0,0,0,643.2857,10.378,224.39,0.1342665,0.131680328,-17.09995364,1.7784245,0.119458059,3,Co/Cr/Ti
31,-5,5,0,27.73,22.28,0,49.99,0,0,0,0,0,0,0,0,0,0,591,11.679,237.36,0.1369239,0.14058635,-19.03764608,1.758886,0.121903236,3,Co/Cr/Ti
32,-5,-5,0,24.09,21.63,0,54.28,0,0,0,0,0,0,0,0,0,0,617.1429,11.378,187.73,0.1353587,0.135847039,-17.98268724,1.76978,0.120852437,3,Co/Cr/Ti
33,5,5,0,27.10667,23.24333,0,49.65,0,0,0,0,0,0,0,0,0,0,609,11.146,192.37,0.136655868,0.139869219,-18.68406516,1.758387332,0.121590459,3,Co/Cr/Ti
34,5,-5,0,21.95,24.63,0,53.42,0,0,0,0,0,0,0,0,0,0,636,10.541,181.09,0.1344385,0.132387967,-16.75170796,1.768744,0.119921735,3,Co/Cr/Ti
35,5,15,0,28.651,26.459,0,44.89,0,0,0,0,0,0,0,0,0,0,586.6667,13.006,197.99,0.13731993,0.141578961,-18.42781225,1.7472976,0.120682663,3,Co/Cr/Ti
36,5,-15,0,19.345,23.3175,0,57.3375,0,0,0,0,0,0,0,0,0,0,656.6667,9.921,176.49,0.13331835,0.127402673,-15.82513526,1.7784045,0.118495757,3,Co/Cr/Ti
37,5,25,0,32.894,26.366,0,40.74,0,0,0,0,0,0,0,0,0,0,565,14.407,165.97,0.13914442,0.145191663,-19.15617179,1.7364704,0.119986424,3,Co/Cr/Ti
38,5,-25,0,16.74,22.005,0,61.255,0,0,0,0,0,0,0,0,0,0,677.3333,9.463,206.93,0.1321982,0.121433593,-14.67266184,1.788065,0.11625238,3,Co/Cr/Ti
39,5,35,0,37.137,26.273,0,36.59,0,0,0,0,0,0,0,0,0,0,544,13.568,202.3,0.14096891,0.147382553,-19.48912733,1.7256432,0.118299291,3,Co/Cr/Ti
40,5,-35,0,14.135,20.6925,0,65.1725,0,0,0,0,0,0,0,0,0,0,698,9.7,171.68,0.13107805,0.11428638,-13.29428772,1.7977255,0.113142992,3,Co/Cr/Ti
41,5,43,0,39.6828,26.2172,0,34.1,0,0,0,0,0,0,0,0,0,0,530.9501,13.996,179.74,0.142063604,0.148083738,-19.49910674,1.71914688,0.116794569,3,Co/Cr/Ti
42,5,-43,0,12.572,19.905,0,67.523,0,0,0,0,0,0,0,0,0,0,702.8186,8.759,200.04,0.13040596,0.109319711,-12.3588309,1.8035218,0.110832202,3,Co/Cr/Ti
43,15,5,0,26.48333,24.20667,0,49.31,0,0,0,0,0,0,0,0,0,0,627,11.894,213.49,0.136387832,0.139114385,-18.33081611,1.757888668,0.12127482,3,Co/Cr/Ti
44,15,-5,0,21.71667,24.945,0,53.33833,0,0,0,0,0,0,0,0,0,0,654,10.209,183.05,0.134338168,0.131977621,-16.61896816,1.768657658,0.11981958,3,Co/Cr/Ti
45,15,15,0,26.67833,29.07667,0,44.245,0,0,0,0,0,0,0,0,0,0,604.6667,13.671,178.45,0.136471682,0.139354631,-17.45068958,1.746667668,0.119708599,3,Co/Cr/Ti
46,15,-15,0,17.34,25.035,0,57.625,0,0,0,0,0,0,0,0,0,0,681,10.155,202.47,0.1324562,0.122904677,-14.71496232,1.779839,0.117501294,3,Co/Cr/Ti
47,15,25,0,29.572,30.638,0,39.79,0,0,0,0,0,0,0,0,0,0,582.3333,13.55,194.58,0.13771596,0.142494207,-17.66611571,1.7357092,0.118320028,3,Co/Cr/Ti
48,15,-25,0,14.735,23.7225,0,61.5425,0,0,0,0,0,0,0,0,0,0,701.6667,9.852,177.48,0.13133605,0.116049954,-13.4711319,1.7894995,0.115118241,3,Co/Cr/Ti
49,15,35,0,33.815,30.545,0,35.64,0,0,0,0,0,0,0,0,0,0,560,13.444,175.22,0.13954045,0.145781636,-18.13172569,1.724882,0.116538089,3,Co/Cr/Ti
50,15,-35,0,12.13,22.41,0,65.46,0,0,0,0,0,0,0,0,0,0,719.1449,9.259,204.96,0.1302159,0.107809033,-12.00140076,1.79916,0.11185354,3,Co/Cr/Ti
