Number,X,Y,Al,Ti,Cr,Fe,Co,Ni,Cu,Zr,Mo,W,Mn,Si,Mg,Resistance,Thickness,Resistivity,Ex_resistivity,ravg,delta,dHmix,ENavg,dEN,N,Compo
52389,27,23,19.67769,0,0,0,50.24371,0,0,0,30.0786,0,0,0,0,0.587,532,141.464652,136.2017885,0.13185063,0.055329144,-11.72024478,1.911090317,0.192249969,3,Al/Co/Mo
52390,27,25,19.32815,0,0,0,49.83796,0,0,0,30.83389,0,0,0,0,0.588,528.8,140.8532832,135.5846688,0.131870795,0.055062656,-11.58621476,1.914148887,0.192608008,3,Al/Co/Mo
52391,27,27,18.97987,0,0,0,49.42702,0,0,0,31.5931,0,0,0,0,0.59,525.6,140.477112,135.2028279,0.131891605,0.054794211,-11.45207138,1.917214843,0.192925781,3,Al/Co/Mo
52392,27,29,18.63285,0,0,0,49.0109,0,0,0,32.35625,0,0,0,0,0.593,522.4,140.3317896,135.0519152,0.131913101,0.054523731,-11.31781306,1.920288805,0.193203157,3,Al/Co/Mo
52393,27,31,18.28708,0,0,0,48.58958,0,0,0,33.12334,0,0,0,0,0.595,521.7,140.6164095,135.3310257,0.131935242,0.054251156,-11.18342437,1.923370236,0.19343992,3,Al/Co/Mo
52394,27,33,17.94257,0,0,0,48.16308,0,0,0,33.89435,0,0,0,0,0.599,523.5,142.0501545,136.7593419,0.131958041,0.053976421,-11.04890378,1.926459241,0.193635851,3,Al/Co/Mo
52395,29,-31,31.18302,0,0,0,54.54208,0,0,0,14.2749,0,0,0,0,0.529,745.0961,178.5525941,173.5605386,0.132183183,0.061788995,-15.37341392,1.835775566,0.178796372,3,Al/Co/Mo
52396,29,-29,30.69094,0,0,0,54.60328,0,0,0,14.70579,0,0,0,0,0.538,731.376,178.2465705,173.2407267,0.132142019,0.061584029,-15.2449153,1.838310862,0.179346132,3,Al/Co/Mo
52397,29,-27,30.20399,0,0,0,54.65247,0,0,0,15.14354,0,0,0,0,0.546,717.0774,177.36049,172.3411051,0.132102508,0.061376268,-15.11554659,1.840851139,0.179884993,3,Al/Co/Mo
52398,29,-25,29.72217,0,0,0,54.68967,0,0,0,15.58816,0,0,0,0,0.554,702.2003,176.2255917,171.192911,0.132064688,0.06116587,-14.98541762,1.843396989,0.180412857,3,Al/Co/Mo
52399,29,-23,29.24549,0,0,0,54.71488,0,0,0,16.03964,0,0,0,0,0.56,686.7447,174.2133955,169.1676647,0.132028561,0.060953005,-14.85463063,1.845948357,0.18092958,3,Al/Co/Mo
52400,29,-21,28.77394,0,0,0,54.72808,0,0,0,16.49798,0,0,0,0,0.565,662.5,169.5635625,164.5050288,0.131994087,0.060737843,-14.72327224,1.848504706,0.181435016,3,Al/Co/Mo
52401,29,-19,28.30752,0,0,0,54.72928,0,0,0,16.96319,0,0,0,0,0.57,643.9,166.261419,161.1903283,0.131961292,0.060520528,-14.59143946,1.85106644,0.18192906,3,Al/Co/Mo
52402,29,-17,27.84624,0,0,0,54.71849,0,0,0,17.43527,0,0,0,0,0.574,639.3,166.2320646,161.148662,0.131930203,0.060301206,-14.45922868,1.853633908,0.182411595,3,Al/Co/Mo
52403,29,-15,27.39009,0,0,0,54.6957,0,0,0,17.91421,0,0,0,0,0.579,634.7,166.4735589,161.378091,0.131900779,0.060080031,-14.32671727,1.856206545,0.182882442,3,Al/Co/Mo
52404,29,-13,26.93907,0,0,0,54.66091,0,0,0,18.40001,0,0,0,0,0.582,623.6,164.4096456,159.3023589,0.131873021,0.059857139,-14.19398791,1.858784351,0.183341468,3,Al/Co/Mo
52405,29,-11,26.49319,0,0,0,54.61413,0,0,0,18.89268,0,0,0,0,0.586,606,160.867548,155.7486876,0.131846969,0.059632654,-14.06112846,1.861367891,0.183788577,3,Al/Co/Mo
52406,29,-9,26.05244,0,0,0,54.55534,0,0,0,19.39221,0,0,0,0,0.587,593.6,157.8447696,152.7145827,0.13182257,0.059406715,-13.92820388,1.863956412,0.184223589,3,Al/Co/Mo
52407,29,-7,25.61683,0,0,0,54.48456,0,0,0,19.89861,0,0,0,0,0.59,586.4,156.727128,151.5858597,0.131799877,0.059179429,-13.79529764,1.866550667,0.184646405,3,Al/Co/Mo
52408,29,-5,25.18635,0,0,0,54.40178,0,0,0,20.41187,0,0,0,0,0.591,579.2,155.0651616,149.9130584,0.131778849,0.058950919,-13.66247039,1.869150091,0.185056842,3,Al/Co/Mo
52409,29,-3,24.761,0,0,0,54.307,0,0,0,20.932,0,0,0,0,0.592,570.7,153.0480432,147.8853511,0.1317595,0.058721286,-13.52978952,1.8717549,0.18545478,3,Al/Co/Mo
52410,29,-1,24.339,0,0,0,54.386,0,0,0,21.275,0,0,0,0,0.593,560.9,150.6740061,145.4992512,0.13172127,0.058523599,-13.40987524,1.8738547,0.185431837,3,Al/Co/Mo
52411,29,1,23.92125,0,0,0,54.151,0,0,0,21.92775,0,0,0,0,0.593,556.8,149.5726272,144.3887498,0.131717878,0.058269428,-13.26863059,1.876810325,0.186063896,3,Al/Co/Mo
52412,29,3,23.61,0,0,0,53.696,0,0,0,22.694,0,0,0,0,0.593,558.4,150.0024336,144.8142786,0.13174614,0.058028122,-13.14376018,1.8797962,0.187092877,3,Al/Co/Mo
52413,29,5,23.24791,0,0,0,53.34213,0,0,0,23.40996,0,0,0,0,0.594,557.7,150.0670314,144.872321,0.131759719,0.057778275,-13.01064663,1.882778531,0.187865417,3,Al/Co/Mo
52414,29,7,22.88708,0,0,0,52.98307,0,0,0,24.12985,0,0,0,0,0.594,554.7,149.2597854,144.0586002,0.131773958,0.057526927,-12.87744167,1.885768464,0.188598008,3,Al/Co/Mo
52415,29,9,22.5275,0,0,0,52.61882,0,0,0,24.85368,0,0,0,0,0.595,551.7,148.7024595,143.4948799,0.131788855,0.057274035,-12.74414073,1.888766054,0.189290752,3,Al/Co/Mo
52416,29,11,22.16918,0,0,0,52.24939,0,0,0,25.58144,0,0,0,0,0.595,548.7,147.8938545,142.6799604,0.131804423,0.057019556,-12.61074697,1.891771434,0.189943726,3,Al/Co/Mo
52417,29,13,21.81211,0,0,0,51.87477,0,0,0,26.31313,0,0,0,0,0.595,545.7,147.0852495,141.8651218,0.131820637,0.05676345,-12.47725115,1.894784255,0.190556956,3,Al/Co/Mo
52418,29,15,21.4563,0,0,0,51.49495,0,0,0,27.04875,0,0,0,0,0.596,542.7,146.5224876,141.2962075,0.131837497,0.056505673,-12.34365257,1.89780449,0.191130486,3,Al/Co/Mo
52419,29,17,21.10174,0,0,0,51.10996,0,0,0,27.78831,0,0,0,0,0.597,539.7,145.9570077,140.7246543,0.13185504,0.056246162,-12.20995127,1.900832758,0.19166431,3,Al/Co/Mo
52420,29,19,20.74844,0,0,0,50.71977,0,0,0,28.53179,0,0,0,0,0.597,536.7,145.1456847,139.9073398,0.131873216,0.055984884,-12.07613831,1.903868224,0.192158383,3,Al/Co/Mo
52421,29,21,20.39639,0,0,0,50.3244,0,0,0,29.27921,0,0,0,0,0.598,533.7,144.5761278,139.3318711,0.131892063,0.05572177,-11.942212,1.906911535,0.192612664,3,Al/Co/Mo
52422,29,23,20.0456,0,0,0,49.92384,0,0,0,30.03056,0,0,0,0,0.599,530.7,144.0038529,138.753765,0.13191157,0.055456771,-11.80816822,1.909962448,0.193027079,3,Al/Co/Mo
52423,29,25,19.69606,0,0,0,49.51809,0,0,0,30.78585,0,0,0,0,0.602,527.6,143.8796856,138.6238468,0.131931734,0.055189824,-11.67399854,1.913021018,0.193401516,3,Al/Co/Mo
52424,29,27,19.34778,0,0,0,49.10715,0,0,0,31.54507,0,0,0,0,0.604,524.4,143.4821328,138.2206237,0.131952558,0.054920872,-11.53970006,1.91608719,0.193735854,3,Al/Co/Mo
52425,29,29,19.00076,0,0,0,48.69103,0,0,0,32.30821,0,0,0,0,0.606,521.2,143.0787816,137.8116828,0.13197404,0.054649853,-11.4052671,1.919160936,0.194029925,3,Al/Co/Mo
52426,29,31,18.65499,0,0,0,48.26971,0,0,0,33.0753,0,0,0,0,0.609,520.5,143.5939785,138.3213703,0.131996181,0.054376691,-11.27068834,1.922242367,0.194283569,3,Al/Co/Mo
52427,31,-29,31.16298,0,0,0,54.11685,0,0,0,14.72017,0,0,0,0,0.536,738.4428,179.2998194,174.3110519,0.132228555,0.061684378,-15.32762878,1.83707643,0.180044419,3,Al/Co/Mo
52428,31,-27,30.67218,0,0,0,54.17505,0,0,0,15.15277,0,0,0,0,0.545,723.3729,178.5899184,173.5874246,0.132187797,0.061480787,-15.20000945,1.83961287,0.18057871,3,Al/Co/Mo
52429,31,-25,30.18652,0,0,0,54.22125,0,0,0,15.59224,0,0,0,0,0.554,707.7245,177.611956,172.5959816,0.132148733,0.061274363,-15.07151886,1.842154856,0.181102237,3,Al/Co/Mo
52430,31,-23,29.70598,0,0,0,54.25545,0,0,0,16.03857,0,0,0,0,0.562,691.4976,176.045608,171.0163998,0.132111319,0.061065283,-14.94224852,1.84470185,0.181614809,3,Al/Co/Mo
52431,31,-21,29.23058,0,0,0,54.27765,0,0,0,16.49177,0,0,0,0,0.568,672.1,172.9340184,167.8918222,0.132075599,0.060853703,-14.81230769,1.84725439,0.182116352,3,Al/Co/Mo
52432,31,-19,28.76032,0,0,0,54.28785,0,0,0,16.95183,0,0,0,0,0.574,653.5,169.924377,164.869439,0.132041559,0.060639786,-14.68179005,1.84981226,0.182606704,3,Al/Co/Mo
52433,31,-17,28.29518,0,0,0,54.28606,0,0,0,17.41876,0,0,0,0,0.579,648.9,170.1980343,165.1306001,0.132009196,0.060423679,-14.55078278,1.852375542,0.183085727,3,Al/Co/Mo
52434,31,-15,27.83518,0,0,0,54.27227,0,0,0,17.89255,0,0,0,0,0.585,637.8,169.020189,163.9405049,0.131978513,0.060205536,-14.41937918,1.854944154,0.183553289,3,Al/Co/Mo
52435,31,-13,27.38032,0,0,0,54.24647,0,0,0,18.37321,0,0,0,0,0.589,620.2,165.4799034,160.3882158,0.131949511,0.059985495,-14.28766369,1.857518124,0.18400928,3,Al/Co/Mo
52436,31,-11,26.93059,0,0,0,54.20869,0,0,0,18.86073,0,0,0,0,0.593,602.6,161.8758354,156.7723895,0.131922199,0.059763688,-14.15571934,1.860097639,0.18445352,3,Al/Co/Mo
52437,31,-9,26.48599,0,0,0,54.1589,0,0,0,19.35511,0,0,0,0,0.597,590.2,159.6142782,154.4993212,0.13189654,0.059540255,-14.02361727,1.862682135,0.184885869,3,Al/Co/Mo
52438,31,-7,26.04652,0,0,0,54.09712,0,0,0,19.85636,0,0,0,0,0.599,583,158.195301,153.0690783,0.131872573,0.059315308,-13.89143899,1.865272204,0.18530621,3,Al/Co/Mo
52439,31,-5,25.61219,0,0,0,54.02333,0,0,0,20.36447,0,0,0,0,0.602,574.5,156.669597,151.5323555,0.131850273,0.059088974,-13.75925434,1.867867415,0.185714393,3,Al/Co/Mo
52440,31,-3,25.18299,0,0,0,53.93755,0,0,0,20.87945,0,0,0,0,0.604,564.7,154.5086964,149.3606814,0.131829665,0.058861355,-13.62713346,1.870468199,0.186110281,3,Al/Co/Mo
